Feature	Importance
S_F	0.000207
KC-feat	0.000206
aromatic.alphaticr.postivecharger	0.000206
IF-feat	0.000206
g1.g5.g6	0.000204
D_A	0.000203
T_P	0.000202
S_Q	0.000202
M_G	0.000201
H_E	0.000201
S_L	0.000201
g7.g2.g1	0.000200
g2.g4.g7	0.000197
NY-feat	0.000196
M_V	0.000196
aromatic.aromatic.uncharger	0.000195
Q_E	0.000194
g1.g1.g3	0.000194
PV-feat	0.000193
AM-feat	0.000193
F_Y	0.000192
Y_H	0.000190
A_I	0.000189
g6.g4.g7	0.000189
P_Q	0.000189
alphaticr.negativecharger.postivecharger	0.000187
DS-feat	0.000187
M_D	0.000186
E_P	0.000186
g1.g5.g7	0.000186
YP-feat	0.000185
CG-feat	0.000185
g7.g1.g5	0.000185
aromatic.negativecharger.uncharger	0.000184
L_R	0.000184
S_K	0.000184
g2.g3.g7	0.000183
QW-feat	0.000183
g6.g2.g1	0.000183
V_R	0.000182
g3.g4.g4	0.000182
K_M	0.000181
S_R	0.000181
I_C	0.000181
F_F	0.000181
K_A	0.000179
L_S	0.000179
EY-feat	0.000179
NV-feat	0.000178
g4.g6.g5	0.000178
g7.g3.g4	0.000177
g7.g3.g2	0.000177
R_D	0.000176
C_I	0.000175
Q_S	0.000175
C_D	0.000175
g6.g2.g5	0.000175
T_M	0.000174
EW-feat	0.000173
Q_D	0.000172
g7.g2.g2	0.000170
postivecharger.aromatic.aromatic	0.000169
S_Y	0.000169
R_S	0.000168
N_L	0.000167
SC-feat	0.000167
F_R	0.000166
A_W	0.000165
postivecharger.negativecharger.aromatic	0.000165
N_M	0.000164
T_I	0.000164
g3.g7.g6	0.000163
L_D	0.000162
E_G	0.000161
T_D	0.000159
W_P	0.000158
L_L	0.000157
DC-feat	0.000157
g3.g7.g2	0.000156
g7.g6.g2	0.000155
g5.g3.g2	0.000152
G_P	0.000152
R_M	0.000152
M_W	0.000148
R_Y	0.000148
WL-feat	0.000147
K_L	0.000146
g5.g4.g3	0.000146
G_M	0.000146
K_R	0.000146
g2.g5.g1	0.000146
g3.g4.g1	0.000145
HV-feat	0.000144
N_A	0.000143
HS-feat	0.000143
M_E	0.000141
N_T	0.000140
N_N	0.000139
P_V	0.000139
PI-feat	0.000138
V_I	0.000138
RW-feat	0.000137
YC-feat	0.000137
L_F	0.000136
C_M	0.000135
g5.g6.g3	0.000135
F_K	0.000134
E_E	0.000134
I_V	0.000133
g5.g6.g4	0.000133
Q_V	0.000133
PY-feat	0.000133
g6.g7.g3	0.000132
Y_T	0.000132
N_R	0.000131
CM-feat	0.000131
P_C	0.000130
g5.g1.g6	0.000129
g7.g6.g1	0.000129
aromatic.alphaticr.aromatic	0.000128
g3.g2.g1	0.000128
R_C	0.000128
R_L	0.000127
D_I	0.000127
G_F	0.000127
S_S	0.000126
F_V	0.000126
S_G	0.000126
D_H	0.000126
F_H	0.000125
g6.g6.g7	0.000125
D_Y	0.000123
R_G	0.000122
g1.g6.g5	0.000120
Y_E	0.000120
V_H	0.000120
QP-feat	0.000119
g1.g6.g7	0.000118
g7.g4.g3	0.000118
SP-feat	0.000118
R_R	0.000117
g3.g4.g5	0.000117
T_Q	0.000117
EC-feat	0.000117
E_W	0.000117
g5.g7.g4	0.000117
K_Y	0.000116
CF-feat	0.000115
G_V	0.000114
QR-feat	0.000113
R_A	0.000113
CN-feat	0.000113
N_P	0.000112
g3.g7.g1	0.000110
F_Q	0.000109
M_N	0.000109
DQ-feat	0.000107
C_K	0.000107
F_N	0.000103
KY-feat	0.000102
F_W	0.000102
M_R	0.000101
g4.g1.g2	0.000101
N_V	0.000100
g3.g5.g7	0.000100
P_D	0.000100
D_N	0.000099
WD-feat	0.000099
N_G	0.000098
C_G	0.000098
g2.g7.g5	0.000098
W_S	0.000097
g7.g4.g6	0.000096
C_F	0.000096
D_T	0.000094
NH-feat	0.000093
C_C	0.000092
g7.g2.g5	0.000091
g6.g7.g5	0.000090
g3.g7.g4	0.000090
H_Y	0.000090
WF-feat	0.000090
g7.g4.g2	0.000089
Y_Y	0.000088
g4.g6.g2	0.000087
g2.g2.g7	0.000087
DW-feat	0.000086
C_A	0.000086
Q_M	0.000086
C_H	0.000086
YY-feat	0.000086
R_K	0.000086
g7.g5.g2	0.000086
F_S	0.000086
